,fold,grid_fold,lon,lat,date,tile_file,ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_10,ref_11,Rainf_f_tavg,SWdown_f_tavg,Tair_f_tavg,grassland_pasture,corn,soybean,deciduous_forest,evergreen_forest,developed_open_space,woody_wetlands,open_water,alfalfa,developed_low_intensity,developed_med_intensity,missing_reflectance,SIF,num_soundings,fraction_valid,fine_sif_file,fine_soundings_file
188,2,1,-90.57718,45.80212,2016-06-15,../data/tiles/input_tile_lat_45.80212_lon_-90.57718_2016-06-15.npy,146.77862548828125,207.7038726806641,486.80322265625,312.30084228515625,2658.58837890625,1364.81640625,665.0964965820312,2933.747314453125,2904.8779296875,5.587809209828266e-05,289.2940979003906,289.93798828125,0.0,0.0,0.0,0.06811731308698654,0.0,0.0,0.8817407488822937,0.0037842951714992523,0.0,0.0,0.0,0.0,0.3923180290400307,9109.0,0.10570000000000003,../data/tiles/fine_sif_lat_45.80212_lon_-90.57718_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.80212_lon_-90.57718_2016-06-15.npy
189,0,2,-93.48772,45.37093,2016-06-15,../data/tiles/input_tile_lat_45.37093_lon_-93.48772_2016-06-15.npy,221.1392974853516,256.55722045898443,537.8755493164061,352.2707214355469,3829.7890625,1752.1290283203125,825.781494140625,2966.1572265625,2949.521728515625,4.0054448618320755e-05,294.06134033203125,292.99884033203125,0.20455235242843628,0.022154780104756355,0.0057663125917315474,0.33596357703208923,0.0009104704367928207,0.0376327782869339,0.00637329276651144,0.03308042511343956,0.20819424092769626,0.004248861689120531,0.0003034901455976069,0.0,0.3666976781024564,7846.0,0.3295,../data/tiles/fine_sif_lat_45.37093_lon_-93.48772_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.37093_lon_-93.48772_2016-06-15.npy
190,3,4,-91.54736,41.24767,2016-06-15,../data/tiles/input_tile_lat_41.24767_lon_-91.54736_2016-06-15.npy,268.51007080078125,363.96429443359375,717.1614990234375,576.3173828125,4144.3671875,2406.526123046875,1195.83349609375,2953.976318359375,2921.906005859375,2.0024730474688116e-05,308.4742126464844,296.7464294433594,0.11871227622032166,0.4562374353408814,0.4230382442474365,0.0,0.0,0.0015090543311089275,0.0,0.0,0.0005030180909670888,0.0,0.0,0.0,0.5417973398591486,25614.0,0.1988,../data/tiles/fine_sif_lat_41.24767_lon_-91.54736_2016-06-15.npy,../data/tiles/fine_soundings_lat_41.24767_lon_-91.54736_2016-06-15.npy
191,1,2,-93.16431999999999,42.379540000000006,2016-06-15,../data/tiles/input_tile_lat_42.37954_lon_-93.16432_2016-06-15.npy,238.41452026367188,284.07073974609375,537.2017211914061,413.58978271484375,3519.319091796875,2060.569580078125,1133.0325927734375,3017.249755859375,2994.311767578125,5.7584889873396605e-05,299.54461669921875,295.2165222167969,0.2004920095205307,0.6912668943405151,0.08610086143016815,0.012915128841996193,0.0,0.0067650675773620605,0.0,0.0,0.0,0.0012300122762098908,0.0,0.0,0.7639568245309803,15652.0,0.16259999999999994,../data/tiles/fine_sif_lat_42.37954_lon_-93.16432_2016-06-15.npy,../data/tiles/fine_soundings_lat_42.37954_lon_-93.16432_2016-06-15.npy
192,4,4,-93.02958000000001,44.13126,2016-06-15,../data/tiles/input_tile_lat_44.13126_lon_-93.02958_2016-06-15.npy,259.83175659179693,294.10565185546875,507.4898681640625,405.59515380859375,2435.73291015625,1860.4171142578125,1086.833251953125,2964.789794921875,2946.160888671875,4.912327494821511e-05,295.73370361328125,293.3236999511719,0.01374819129705429,0.5842981338500977,0.3538350164890289,0.009768451564013958,0.0,0.023878436535596848,0.0,0.0,0.0007235889788717031,0.005065123084932566,0.004341533873230219,0.0,0.5798843381850493,8178.0,0.2764,../data/tiles/fine_sif_lat_44.13126_lon_-93.02958_2016-06-15.npy,../data/tiles/fine_soundings_lat_44.13126_lon_-93.02958_2016-06-15.npy
193,2,1,-88.23257,39.98104,2016-06-15,../data/tiles/input_tile_lat_39.98104_lon_-88.23257_2016-06-15.npy,338.6845397949219,350.6518249511719,595.8473510742188,391.6343078613281,4256.1826171875,2120.780517578125,1061.144775390625,2980.694580078125,2957.204833984375,4.0255683416035026e-05,296.6279296875,296.64404296875,0.0077238716185092935,0.5349987745285034,0.4199855029582977,0.002293024444952607,0.0,0.01182717829942703,0.0,0.0,0.0014482259284704926,0.01918899267911911,0.0013275403762236238,0.0,0.7300455460125512,147203.0,0.8286,../data/tiles/fine_sif_lat_39.98104_lon_-88.23257_2016-06-15.npy,../data/tiles/fine_soundings_lat_39.98104_lon_-88.23257_2016-06-15.npy
194,4,1,-93.70331,45.93687,2016-06-15,../data/tiles/input_tile_lat_45.93687_lon_-93.70331_2016-06-15.npy,196.9532165527344,216.9114227294922,505.9825439453125,255.24766540527344,4444.37548828125,1873.7386474609373,793.8265991210938,2949.2451171875,2935.371826171875,4.068718772032298e-05,291.58380126953125,291.9944152832031,0.07298814505338669,0.00436681229621172,0.00436681229621172,0.6824703812599182,0.0,0.014348097145557404,0.027448533102869987,0.0,0.0,0.0,0.0,0.0,0.4146715101189671,4927.0,0.1603,../data/tiles/fine_sif_lat_45.93687_lon_-93.70331_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.93687_lon_-93.70331_2016-06-15.npy
195,1,3,-93.29907,42.54124,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.29907_2016-06-15.npy,297.45391845703125,363.9241638183594,656.970458984375,593.7811889648438,3543.97705078125,2327.050537109375,1412.1297607421875,3014.481689453125,2990.86328125,6.126228981884195e-05,298.886474609375,294.9783630371094,0.1933913081884384,0.3899130523204804,0.2093913108110428,0.06608695536851883,0.0,0.06747826188802719,0.012869564816355705,0.0006956521538086237,0.002086956519633532,0.03234782442450524,0.002434782683849335,0.0,0.6389566515109001,39897.0,0.2875,../data/tiles/fine_sif_lat_42.54124_lon_-93.29907_2016-06-15.npy,../data/tiles/fine_soundings_lat_42.54124_lon_-93.29907_2016-06-15.npy
196,3,0,-93.37992,45.047540000000005,2016-06-15,../data/tiles/input_tile_lat_45.04754_lon_-93.37992_2016-06-15.npy,411.6174011230469,484.20928955078125,733.6466674804688,704.8582153320312,2852.498779296875,1805.95654296875,1143.3458251953125,3036.94384765625,3011.218994140625,4.172597255092114e-05,296.22161865234375,293.3729553222656,0.0,0.0,0.0,0.0,0.0,0.16429106891155246,0.0,0.0,0.0,0.5341335535049438,0.21455363929271695,0.0,0.4097771199706404,4845.0,0.13329999999999995,../data/tiles/fine_sif_lat_45.04754_lon_-93.37992_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.04754_lon_-93.37992_2016-06-15.npy
197,0,3,-105.37243000000001,40.14274,2016-06-15,../data/tiles/input_tile_lat_40.14274_lon_-105.37243_2016-06-15.npy,316.6313781738281,400.278564453125,631.1912841796875,584.6211547851562,2092.089111328125,1778.1356201171875,1140.713134765625,3064.08544921875,3045.711181640625,1.239097946381662e-05,329.7680358886719,291.7535705566406,0.014856081455945969,0.0,0.0,0.0,0.8050139546394348,0.0,0.000928505090996623,0.000928505090996623,0.0,0.0,0.0,0.0,0.11241995943343562,10434.0,0.10770000000000003,../data/tiles/fine_sif_lat_40.14274_lon_-105.37243_2016-06-15.npy,../data/tiles/fine_soundings_lat_40.14274_lon_-105.37243_2016-06-15.npy
